,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Costco gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,46.00,,"367,284.30"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,39.00,,"367,323.30"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,33.10,,"367,356.40"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,37.91,,"367,394.31"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,50.00,,"367,444.31"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,25.00,,"367,469.31"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,79.90,,"367,549.21"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,7.23,,"367,556.44"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,47.90,,"367,604.34"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.00,,"367,616.34"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,30.00,,"367,646.34"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,22.00,,"367,668.34"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,22.53,,"367,690.87"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Lowes,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,39.00,,"367,729.87"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,60.00,,"367,789.87"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,75.00,,"367,864.87"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,14.50,,"367,879.37"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Publix,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,21.38,,"367,900.75"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Publix,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,65.28,,"367,966.03"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,35.92,,"368,001.95"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,62.20,,"368,064.15"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.13,,"368,080.28"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,38.01,,"368,118.29"
,,,,,,Bill,,05/31/2025,,May/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,17.64,,"368,135.93"
,,,,,,Bill,,06/02/2025,,INV# 1012 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1012 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"385,593.05"
,,,,,,Bill,,06/06/2025,,expenses,,Harold Echeverri,,gas HHA- Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,34.10,,"385,627.15"
,,,,,,Bill,,06/09/2025,,INV# 1013 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1013 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"403,084.27"
,,,,,,Bill,,06/16/2025,,INV# 1014 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1014 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"420,541.39"
,,,,,,Bill,,06/19/2025,,INV# 36 PO# 1388,,Argo Power Service,,INV# 36 PO# 1388  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"20,287.00",,"440,828.39"
,,,,,,Bill,,06/19/2025,,INV# 00054,,"Full Uniwell, LLC",,INV# 00054 (COMISSION # 1),,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,500.00",,"442,328.39"
